season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,1,IST,Anadolu Efes Istanbul,TEL,Maccabi Rapyd Tel Aviv,4,85,78,546,False
E2025,2,BAS,Baskonia Vitoria-Gasteiz,OLY,Olympiacos Piraeus,4,96,102,603,False
E2025,3,RED,Crvena Zvezda Meridianbet Belgrade,MIL,EA7 Emporio Armani Milan,4,82,92,497,False
E2025,4,DUB,Dubai Basketball,PAR,Partizan Mozzart Bet Belgrade,4,89,76,489,False
E2025,5,HTA,Hapoel IBI Tel Aviv,BAR,FC Barcelona,4,103,87,527,False
E2025,6,PAN,Panathinaikos AKTOR Athens,MUN,FC Bayern Munich,4,87,79,552,False
E2025,7,VIR,Virtus Bologna,MAD,Real Madrid,4,74,68,504,False
E2025,8,ULK,Fenerbahce Beko Istanbul,PRS,Paris Basketball,4,96,77,754,False
E2025,9,MCO,AS Monaco,ZAL,Zalgiris Kaunas,4,84,89,535,False
E2025,10,ASV,LDLC ASVEL Villeurbanne,PAM,Valencia Basket,4,77,80,620,False
E2025,11,MUN,FC Bayern Munich,RED,Crvena Zvezda Meridianbet Belgrade,4,97,88,496,False
E2025,12,PAR,Partizan Mozzart Bet Belgrade,MIL,EA7 Emporio Armani Milan,4,80,78,520,False
E2025,13,MAD,Real Madrid,OLY,Olympiacos Piraeus,4,89,77,564,False
E2025,14,IST,Anadolu Efes Istanbul,HTA,Hapoel IBI Tel Aviv,4,81,87,519,False
E2025,15,TEL,Maccabi Rapyd Tel Aviv,PRS,Paris Basketball,4,94,101,725,False
E2025,16,MCO,AS Monaco,DUB,Dubai Basketball,4,103,81,551,False
E2025,17,ASV,LDLC ASVEL Villeurbanne,BAS,Baskonia Vitoria-Gasteiz,4,102,95,626,False
E2025,18,PAN,Panathinaikos AKTOR Athens,BAR,FC Barcelona,4,96,103,614,False
E2025,19,PAM,Valencia Basket,VIR,Virtus Bologna,4,103,94,622,False
E2025,20,ZAL,Zalgiris Kaunas,ULK,Fenerbahce Beko Istanbul,4,84,81,624,False
E2025,21,HTA,Hapoel IBI Tel Aviv,TEL,Maccabi Rapyd Tel Aviv,4,90,103,505,False
E2025,22,BAS,Baskonia Vitoria-Gasteiz,PAN,Panathinaikos AKTOR Athens,4,84,86,635,False
E2025,23,MIL,EA7 Emporio Armani Milan,MCO,AS Monaco,4,79,82,545,False
E2025,24,PRS,Paris Basketball,VIR,Virtus Bologna,4,90,79,705,False
E2025,25,MAD,Real Madrid,ASV,LDLC ASVEL Villeurbanne,4,85,72,548,False
E2025,26,PAR,Partizan Mozzart Bet Belgrade,IST,Anadolu Efes Istanbul,4,93,87,514,False
E2025,27,OLY,Olympiacos Piraeus,DUB,Dubai Basketball,4,86,67,518,False
E2025,28,BAR,FC Barcelona,PAM,Valencia Basket,4,108,102,601,False
E2025,29,MUN,FC Bayern Munich,ZAL,Zalgiris Kaunas,4,70,98,537,False
E2025,30,ULK,Fenerbahce Beko Istanbul,RED,Crvena Zvezda Meridianbet Belgrade,4,81,86,666,False
E2025,31,RED,Crvena Zvezda Meridianbet Belgrade,ZAL,Zalgiris Kaunas,4,88,79,605,False
E2025,32,MUN,FC Bayern Munich,MIL,EA7 Emporio Armani Milan,4,64,53,491,False
E2025,33,ULK,Fenerbahce Beko Istanbul,DUB,Dubai Basketball,4,69,93,528,False
E2025,34,OLY,Olympiacos Piraeus,IST,Anadolu Efes Istanbul,4,78,82,537,False
E2025,35,TEL,Maccabi Rapyd Tel Aviv,BAR,FC Barcelona,4,71,92,539,False
E2025,36,PAN,Panathinaikos AKTOR Athens,ASV,LDLC ASVEL Villeurbanne,4,91,85,532,False
E2025,37,PRS,Paris Basketball,BAS,Baskonia Vitoria-Gasteiz,4,105,87,706,False
E2025,38,MAD,Real Madrid,PAR,Partizan Mozzart Bet Belgrade,4,93,86,503,False
E2025,39,PAM,Valencia Basket,HTA,Hapoel IBI Tel Aviv,4,93,100,578,False
E2025,40,VIR,Virtus Bologna,MCO,AS Monaco,4,77,73,548,False
E2025,41,DUB,Dubai Basketball,BAR,FC Barcelona,4,83,78,565,False
E2025,42,ULK,Fenerbahce Beko Istanbul,MUN,FC Bayern Munich,4,88,73,575,False
E2025,43,TEL,Maccabi Rapyd Tel Aviv,OLY,Olympiacos Piraeus,4,94,95,529,False
E2025,44,ZAL,Zalgiris Kaunas,MIL,EA7 Emporio Armani Milan,4,78,89,517,False
E2025,45,IST,Anadolu Efes Istanbul,PAN,Panathinaikos AKTOR Athens,4,81,95,520,False
E2025,46,MCO,AS Monaco,PAM,Valencia Basket,4,90,84,637,False
E2025,47,BAS,Baskonia Vitoria-Gasteiz,PAR,Partizan Mozzart Bet Belgrade,4,79,91,485,False
E2025,48,RED,Crvena Zvezda Meridianbet Belgrade,MAD,Real Madrid,4,90,75,589,False
E2025,49,ASV,LDLC ASVEL Villeurbanne,VIR,Virtus Bologna,4,83,90,551,False
E2025,50,PRS,Paris Basketball,HTA,Hapoel IBI Tel Aviv,4,88,89,700,False
E2025,51,TEL,Maccabi Rapyd Tel Aviv,MAD,Real Madrid,4,92,91,555,False
E2025,52,RED,Crvena Zvezda Meridianbet Belgrade,BAS,Baskonia Vitoria-Gasteiz,4,90,72,601,False
E2025,53,MIL,EA7 Emporio Armani Milan,PAM,Valencia Basket,4,100,103,611,False
E2025,54,BAR,FC Barcelona,ZAL,Zalgiris Kaunas,4,73,88,522,False
E2025,55,HTA,Hapoel IBI Tel Aviv,MCO,AS Monaco,4,85,77,508,False
E2025,56,ASV,LDLC ASVEL Villeurbanne,DUB,Dubai Basketball,4,85,79,598,False
E2025,57,IST,Anadolu Efes Istanbul,ULK,Fenerbahce Beko Istanbul,4,69,79,545,False
E2025,58,MUN,FC Bayern Munich,OLY,Olympiacos Piraeus,4,71,96,491,False
E2025,59,PAR,Partizan Mozzart Bet Belgrade,PRS,Paris Basketball,4,83,101,647,False
E2025,60,VIR,Virtus Bologna,PAN,Panathinaikos AKTOR Athens,4,92,75,535,False
E2025,61,BAS,Baskonia Vitoria-Gasteiz,DUB,Dubai Basketball,4,92,85,556,False
E2025,62,RED,Crvena Zvezda Meridianbet Belgrade,ASV,LDLC ASVEL Villeurbanne,4,79,65,531,False
E2025,63,BAR,FC Barcelona,MIL,EA7 Emporio Armani Milan,4,74,72,492,False
E2025,64,MUN,FC Bayern Munich,MAD,Real Madrid,4,90,84,567,False
E2025,65,PAN,Panathinaikos AKTOR Athens,TEL,Maccabi Rapyd Tel Aviv,4,99,85,552,False
E2025,66,PRS,Paris Basketball,IST,Anadolu Efes Istanbul,4,80,90,698,False
E2025,67,PAM,Valencia Basket,ULK,Fenerbahce Beko Istanbul,4,94,79,632,False
E2025,68,ZAL,Zalgiris Kaunas,VIR,Virtus Bologna,4,86,65,519,False
E2025,69,HTA,Hapoel IBI Tel Aviv,PAR,Partizan Mozzart Bet Belgrade,4,97,84,500,False
E2025,70,OLY,Olympiacos Piraeus,MCO,AS Monaco,4,87,92,507,False
E2025,71,MIL,EA7 Emporio Armani Milan,PRS,Paris Basketball,4,86,77,665,False
E2025,72,MUN,FC Bayern Munich,VIR,Virtus Bologna,4,86,70,565,False
E2025,73,TEL,Maccabi Rapyd Tel Aviv,RED,Crvena Zvezda Meridianbet Belgrade,4,92,99,662,False
E2025,74,MAD,Real Madrid,ULK,Fenerbahce Beko Istanbul,4,84,58,553,False
E2025,75,PAM,Valencia Basket,DUB,Dubai Basketball,4,80,78,558,False
E2025,76,ZAL,Zalgiris Kaunas,ASV,LDLC ASVEL Villeurbanne,4,96,59,543,False
E2025,77,MCO,AS Monaco,PAN,Panathinaikos AKTOR Athens,4,92,84,500,False
E2025,78,BAS,Baskonia Vitoria-Gasteiz,IST,Anadolu Efes Istanbul,4,86,75,571,False
E2025,79,OLY,Olympiacos Piraeus,HTA,Hapoel IBI Tel Aviv,4,62,58,472,False
E2025,80,PAR,Partizan Mozzart Bet Belgrade,BAR,FC Barcelona,4,76,78,535,False
E2025,81,PRS,Paris Basketball,MUN,FC Bayern Munich,4,82,86,661,False
E2025,82,BAS,Baskonia Vitoria-Gasteiz,VIR,Virtus Bologna,4,87,76,560,False
E2025,83,RED,Crvena Zvezda Meridianbet Belgrade,PAN,Panathinaikos AKTOR Athens,4,86,68,558,False
E2025,84,DUB,Dubai Basketball,HTA,Hapoel IBI Tel Aviv,4,97,109,541,False
E2025,85,ULK,Fenerbahce Beko Istanbul,ASV,LDLC ASVEL Villeurbanne,4,81,67,534,False
E2025,86,TEL,Maccabi Rapyd Tel Aviv,MCO,AS Monaco,5,107,112,646,False
E2025,87,IST,Anadolu Efes Istanbul,MIL,EA7 Emporio Armani Milan,6,93,97,568,False
E2025,88,BAR,FC Barcelona,MAD,Real Madrid,4,92,101,506,False
E2025,89,OLY,Olympiacos Piraeus,PAR,Partizan Mozzart Bet Belgrade,4,80,71,489,False
E2025,90,ZAL,Zalgiris Kaunas,PAM,Valencia Basket,4,86,77,592,False
E2025,91,ULK,Fenerbahce Beko Istanbul,TEL,Maccabi Rapyd Tel Aviv,4,84,75,614,False
E2025,92,HTA,Hapoel IBI Tel Aviv,BAS,Baskonia Vitoria-Gasteiz,4,114,89,519,False
E2025,93,PRS,Paris Basketball,PAN,Panathinaikos AKTOR Athens,4,95,101,674,False
E2025,94,PAM,Valencia Basket,MAD,Real Madrid,4,89,76,638,False
E2025,95,VIR,Virtus Bologna,IST,Anadolu Efes Istanbul,4,99,89,494,False
E2025,96,DUB,Dubai Basketball,RED,Crvena Zvezda Meridianbet Belgrade,4,102,86,525,False
E2025,97,PAR,Partizan Mozzart Bet Belgrade,MCO,AS Monaco,4,78,76,511,False
E2025,98,MIL,EA7 Emporio Armani Milan,ASV,LDLC ASVEL Villeurbanne,4,80,72,537,False
E2025,99,MUN,FC Bayern Munich,BAR,FC Barcelona,4,74,75,474,False
E2025,100,OLY,Olympiacos Piraeus,ZAL,Zalgiris Kaunas,4,95,78,568,False
E2025,101,ULK,Fenerbahce Beko Istanbul,HTA,Hapoel IBI Tel Aviv,4,74,68,517,False
E2025,102,TEL,Maccabi Rapyd Tel Aviv,BAS,Baskonia Vitoria-Gasteiz,4,89,83,555,False
E2025,103,PRS,Paris Basketball,PAM,Valencia Basket,4,90,86,722,False
E2025,104,MAD,Real Madrid,PAN,Panathinaikos AKTOR Athens,4,77,87,493,False
E2025,105,RED,Crvena Zvezda Meridianbet Belgrade,MCO,AS Monaco,4,91,79,514,False
E2025,106,IST,Anadolu Efes Istanbul,MUN,FC Bayern Munich,4,74,72,512,False
E2025,107,DUB,Dubai Basketball,ZAL,Zalgiris Kaunas,4,95,89,542,False
E2025,108,MIL,EA7 Emporio Armani Milan,OLY,Olympiacos Piraeus,4,88,87,470,False
E2025,109,BAR,FC Barcelona,VIR,Virtus Bologna,4,88,81,528,False
E2025,110,ASV,LDLC ASVEL Villeurbanne,PAR,Partizan Mozzart Bet Belgrade,4,88,87,555,False
E2025,111,ASV,LDLC ASVEL Villeurbanne,MCO,AS Monaco,4,52,84,559,False
E2025,112,IST,Anadolu Efes Istanbul,BAR,FC Barcelona,4,74,73,524,False
E2025,113,MIL,EA7 Emporio Armani Milan,HTA,Hapoel IBI Tel Aviv,4,83,105,508,False
E2025,114,PAN,Panathinaikos AKTOR Athens,DUB,Dubai Basketball,4,103,82,518,False
E2025,115,MAD,Real Madrid,ZAL,Zalgiris Kaunas,4,100,99,561,False
E2025,116,BAS,Kosner Baskonia Vitoria-Gasteiz,MUN,FC Bayern Munich,4,95,73,522,False
E2025,117,OLY,Olympiacos Piraeus,PRS,Paris Basketball,4,98,86,646,False
E2025,118,PAR,Partizan Mozzart Bet Belgrade,ULK,Fenerbahce Beko Istanbul,4,87,99,561,False
E2025,119,PAM,Valencia Basket,RED,Crvena Zvezda Meridianbet Belgrade,4,76,73,562,False
E2025,120,VIR,Virtus Bologna,TEL,Maccabi Rapyd Tel Aviv,4,99,89,581,False
E2025,121,DUB,Dubai Basketball,PRS,Paris Basketball,4,90,89,720,False
E2025,122,HTA,Hapoel IBI Tel Aviv,MAD,Real Madrid,4,74,75,475,False
E2025,123,PAN,Panathinaikos AKTOR Athens,PAR,Partizan Mozzart Bet Belgrade,4,91,69,501,False
E2025,124,PAM,Valencia Basket,MUN,FC Bayern Munich,4,90,64,595,False
E2025,125,ZAL,Zalgiris Kaunas,BAS,Kosner Baskonia Vitoria-Gasteiz,4,82,67,537,False
E2025,126,ULK,Fenerbahce Beko Istanbul,VIR,Virtus Bologna,4,66,64,544,False
E2025,127,MCO,AS Monaco,IST,Anadolu Efes Istanbul,4,102,66,529,False
E2025,128,RED,Crvena Zvezda Meridianbet Belgrade,OLY,Olympiacos Piraeus,4,91,80,479,False
E2025,129,BAR,FC Barcelona,ASV,LDLC ASVEL Villeurbanne,4,88,78,597,False
E2025,130,TEL,Maccabi Rapyd Tel Aviv,MIL,EA7 Emporio Armani Milan,4,88,102,529,False
E2025,131,MCO,AS Monaco,PRS,Paris Basketball,4,125,104,628,False
E2025,132,PAR,Partizan Mozzart Bet Belgrade,MUN,FC Bayern Munich,4,92,85,528,False
E2025,133,HTA,Hapoel IBI Tel Aviv,ASV,LDLC ASVEL Villeurbanne,4,87,80,548,False
E2025,134,OLY,Olympiacos Piraeus,ULK,Fenerbahce Beko Istanbul,4,104,87,507,False
E2025,135,ZAL,Zalgiris Kaunas,TEL,Maccabi Rapyd Tel Aviv,4,65,83,660,False
E2025,136,IST,Anadolu Efes Istanbul,MAD,Real Madrid,4,75,81,512,False
E2025,137,RED,Crvena Zvezda Meridianbet Belgrade,BAR,FC Barcelona,4,79,89,579,False
E2025,138,BAS,Kosner Baskonia Vitoria-Gasteiz,MIL,EA7 Emporio Armani Milan,4,88,78,546,False
E2025,139,PAN,Panathinaikos AKTOR Athens,PAM,Valencia Basket,4,79,89,626,False
E2025,140,VIR,Virtus Bologna,DUB,Dubai Basketball,4,79,78,521,False
E2025,141,TEL,Maccabi Rapyd Tel Aviv,ASV,LDLC ASVEL Villeurbanne,4,92,84,583,False
E2025,142,DUB,Dubai Basketball,MUN,FC Bayern Munich,4,89,88,555,False
E2025,143,MIL,EA7 Emporio Armani Milan,PAN,Panathinaikos AKTOR Athens,4,96,89,498,False
E2025,144,PRS,Paris Basketball,ZAL,Zalgiris Kaunas,4,105,108,653,False
E2025,145,MAD,Real Madrid,BAS,Kosner Baskonia Vitoria-Gasteiz,4,94,87,587,False
E2025,146,PAM,Valencia Basket,IST,Anadolu Efes Istanbul,4,94,82,548,False
E2025,147,MCO,AS Monaco,ULK,Fenerbahce Beko Istanbul,4,86,92,623,False
E2025,148,BAR,FC Barcelona,OLY,Olympiacos Piraeus,4,98,85,528,False
E2025,149,PAR,Partizan Mozzart Bet Belgrade,RED,Crvena Zvezda Meridianbet Belgrade,4,79,76,521,False
E2025,150,VIR,Virtus Bologna,HTA,Hapoel IBI Tel Aviv,4,74,79,505,False
E2025,151,DUB,Dubai Basketball,TEL,Maccabi Rapyd Tel Aviv,4,95,97,513,False
E2025,152,MIL,EA7 Emporio Armani Milan,MAD,Real Madrid,4,89,82,536,False
E2025,153,ULK,Fenerbahce Beko Istanbul,PAN,Panathinaikos AKTOR Athens,4,77,81,558,False
E2025,154,HTA,Hapoel IBI Tel Aviv,RED,Crvena Zvezda Meridianbet Belgrade,4,84,78,512,False
E2025,155,OLY,Olympiacos Piraeus,PAM,Valencia Basket,4,92,99,556,False
E2025,156,PRS,Paris Basketball,BAR,FC Barcelona,4,69,85,581,False
E2025,157,BAS,Kosner Baskonia Vitoria-Gasteiz,MCO,AS Monaco,4,85,73,585,False
E2025,158,ASV,LDLC ASVEL Villeurbanne,MUN,FC Bayern Munich,4,76,74,539,False
E2025,159,PAR,Partizan Mozzart Bet Belgrade,VIR,Virtus Bologna,4,68,86,514,False
E2025,160,ZAL,Zalgiris Kaunas,IST,Anadolu Efes Istanbul,4,64,87,514,False
E2025,161,MIL,EA7 Emporio Armani Milan,ULK,Fenerbahce Beko Istanbul,4,72,87,528,False
E2025,162,TEL,Maccabi Rapyd Tel Aviv,PAM,Valencia Basket,4,85,82,615,False
E2025,163,PAN,Panathinaikos AKTOR Athens,HTA,Hapoel IBI Tel Aviv,4,93,82,545,False
E2025,164,MAD,Real Madrid,PRS,Paris Basketball,4,95,90,578,False
E2025,165,IST,Anadolu Efes Istanbul,DUB,Dubai Basketball,4,76,80,535,False
E2025,166,MCO,AS Monaco,MUN,FC Bayern Munich,4,103,77,508,False
